Cluster	R[arcmin]	ΔR[arcmin]	σ_R[mas/yr]	Δσ_R[mas/yr]	σ_T[mas/yr]	Δσ_T[mas/yr]
NGC0104	6.341730	0.758013	0.404550	0.005353	0.360380	0.004882
NGC0104	7.923022	0.406277	0.369883	0.005255	0.328561	0.004851
NGC0104	9.241765	0.360106	0.341469	0.005164	0.297248	0.004637
NGC0104	10.486002	0.365996	0.313766	0.004916	0.294957	0.004667
NGC0104	11.764721	0.379483	0.293077	0.004766	0.268086	0.004597
NGC0104	13.127852	0.413685	0.278582	0.004636	0.265560	0.004543
NGC0104	14.648069	0.475339	0.268043	0.004767	0.252213	0.004493
NGC0104	16.437930	0.559419	0.240590	0.004498	0.243827	0.004493
NGC0104	18.679427	0.781041	0.232109	0.004274	0.222787	0.004389
NGC0104	22.040862	1.230365	0.206544	0.004099	0.206520	0.004200
NGC0104	28.626610	3.985561	0.184466	0.003859	0.173667	0.003905
NGC0288	1.837392	0.493197	0.094779	0.009253	0.104397	0.009784
NGC0288	2.794512	0.225564	0.083744	0.016168	0.062759	0.015805
NGC0288	3.540996	0.219968	0.070686	0.014802	0.051727	0.014113
NGC0288	4.326483	0.262241	0.075918	0.016265	0.067813	0.013844
NGC0288	5.409255	0.391449	0.100110	0.018329	0.062090	0.023263
NGC0288	7.477230	1.770846	0.047360	0.013401	0.035869	0.015320
NGC0362	2.872910	0.462332	0.156253	0.008147	0.157526	0.009131
NGC0362	3.899488	0.279692	0.117800	0.010543	0.104713	0.008971
NGC0362	4.885879	0.287074	0.074979	0.009389	0.102871	0.011615
NGC0362	6.041857	0.473572	0.088581	0.013805	0.090783	0.010934
NGC0362	8.463233	1.393298	0.091091	0.010868	0.071942	0.011285
NGC1261	2.250335	0.504808	0.061017	0.006970	0.073076	0.007465
NGC1261	4.118968	1.410351	0.008696	0.006540	0.017243	0.010806
NGC1851	2.320638	0.408883	0.118601	0.007898	0.108266	0.007453
NGC1851	3.162774	0.228171	0.086161	0.012575	0.061344	0.011585
NGC1851	3.945528	0.225109	0.081690	0.011861	0.062606	0.011972
NGC1851	4.803986	0.295117	0.053071	0.012712	0.087379	0.015928
NGC1851	6.026166	0.442685	0.064061	0.014524	0.025902	0.015909
NGC1851	8.713568	1.917640	0.027367	0.012294	0.024511	0.013534
NGC2808	3.827309	0.605507	0.172805	0.006431	0.161241	0.006800
NGC2808	5.044250	0.300915	0.150143	0.009879	0.141703	0.010617
NGC2808	6.038746	0.313331	0.116244	0.009820	0.122128	0.010108
NGC2808	7.314357	0.452543	0.113527	0.011629	0.119241	0.010507
NGC2808	9.826419	1.764442	0.093437	0.009571	0.099421	0.010073
NGC3201	2.426768	0.506531	0.175791	0.006235	0.178466	0.006458
NGC3201	3.493572	0.270509	0.171303	0.007349	0.159951	0.007159
NGC3201	4.347943	0.224835	0.160096	0.007506	0.155202	0.007432
NGC3201	5.142812	0.244055	0.157920	0.007293	0.130374	0.007109
NGC3201	6.047856	0.264865	0.145984	0.007370	0.128396	0.006864
NGC3201	6.978997	0.282228	0.145366	0.007562	0.134660	0.007755
NGC3201	8.045824	0.320992	0.137856	0.007434	0.122650	0.007046
NGC3201	9.220376	0.363796	0.138345	0.007670	0.113868	0.007346
NGC3201	10.588945	0.449038	0.137015	0.007621	0.109137	0.006959
NGC3201	12.365743	0.548296	0.143006	0.008130	0.106761	0.007352
NGC3201	14.494592	0.716835	0.118183	0.007397	0.112834	0.007281
NGC3201	17.412077	1.033928	0.105736	0.007410	0.094919	0.006864
NGC3201	21.794123	1.585941	0.108541	0.007128	0.079608	0.006608
NGC4590	2.465068	0.583773	0.066358	0.007060	0.072048	0.007103
NGC4590	4.311500	0.645691	0.016518	0.010541	0.046296	0.010706
NGC4590	7.671983	2.315376	0.041922	0.011763	0.044376	0.012237
NGC5024	3.120883	0.754403	0.064899	0.006341	0.056141	0.006214
NGC5024	5.142200	0.614935	0.039810	0.012908	0.047050	0.011645
NGC5024	8.285810	2.432545	0.046142	0.013175	0.013797	0.010470
NGC5139	9.393522	0.997374	0.473592	0.006012	0.399247	0.005233
NGC5139	11.237160	0.414471	0.418753	0.006050	0.375202	0.005495
NGC5139	12.540587	0.349281	0.404943	0.006191	0.360450	0.005623
NGC5139	13.669839	0.315484	0.385939	0.006086	0.356383	0.005714
NGC5139	14.747149	0.316141	0.361685	0.006121	0.349040	0.005751
NGC5139	15.831152	0.318590	0.346617	0.006129	0.330037	0.005779
NGC5139	17.000775	0.342529	0.336485	0.006140	0.321767	0.005742
NGC5139	18.215358	0.365223	0.303585	0.006099	0.320945	0.005957
NGC5139	19.566429	0.416478	0.305360	0.006044	0.301066	0.005595
NGC5139	21.137885	0.502283	0.280598	0.005911	0.291180	0.005556
NGC5139	23.143293	0.699397	0.266545	0.005706	0.283350	0.005511
NGC5139	26.142947	1.133345	0.249098	0.005363	0.271675	0.005368
NGC5139	32.059340	3.209309	0.223871	0.005109	0.244875	0.005060
NGC5272	3.583906	0.613910	0.130050	0.005529	0.127891	0.005913
NGC5272	4.952394	0.337555	0.113022	0.008369	0.090948	0.008435
NGC5272	6.090151	0.320665	0.105289	0.009796	0.090639	0.009317
NGC5272	7.240280	0.364046	0.101828	0.009869	0.088563	0.010171
NGC5272	8.649630	0.475343	0.083424	0.009685	0.079012	0.009437
NGC5272	10.681006	0.777448	0.070746	0.008161	0.064272	0.009076
NGC5272	14.859825	3.434644	0.045247	0.010409	0.041540	0.009980
NGC5904	4.007722	0.683686	0.163444	0.006760	0.170819	0.007398
NGC5904	5.557294	0.403078	0.124877	0.009701	0.130511	0.009307
NGC5904	6.986623	0.451854	0.116737	0.010229	0.136047	0.009534
NGC5904	8.904762	0.744797	0.095130	0.010602	0.102516	0.010484
NGC5904	13.085582	3.437528	0.100956	0.009595	0.095973	0.009925
NGC5986	2.579372	0.411216	0.090903	0.009729	0.122728	0.011102
NGC5986	3.395107	0.249431	0.090397	0.016967	0.109561	0.018189
NGC5986	4.591722	0.925276	0.060333	0.018360	0.042845	0.019145
NGC6093	2.274886	0.335721	0.129235	0.012120	0.126674	0.012098
