Cluster        W0   -1σ_W0   +1σ_W0        M    -1σ_M    +1σ_M        rh   -1σ_rh   +1σ_rh       ra   -1σ_ra   +1σ_ra        g    -1σ_g    +1σ_g    delta  -1σ_delta  +1σ_delta        s2   -1σ_s2   +1σ_s2        F    -1σ_F    +1σ_F        a1   -1σ_a1   +1σ_a1        a2   -1σ_a2   +1σ_a2       a3   -1σ_a3   +1σ_a3     BHret  -1σ_BHret  +1σ_BHret         d    -1σ_d    +1σ_d
NGC0104  6.128707 0.063294 0.075125 0.904483 0.004852 0.004977  6.713782 0.034975 0.035341 1.708881 0.031911 0.046796 1.477301 0.020936 0.020763 0.470215   0.011425   0.010365  0.000627 0.000232 0.000470 2.693269 0.113321 0.128508  0.350936 0.024220 0.024187  1.286803 0.036045 0.038462 2.244743 0.024643 0.027616  0.268218   0.053323   0.099635  4.420405 0.012336 0.011135
NGC0288  3.592120 0.111205 0.160420 0.088879 0.002913 0.003495  8.619899 0.079584 0.100585 0.774346 0.168864 1.667479 0.463419 0.072096 0.069228 0.487748   0.014116   0.008561  0.134801 0.129678 0.449005 1.402836 0.077726 0.079584  0.430141 0.032150 0.035280  1.019249 0.078143 0.075668 2.077850 0.130319 0.123179  0.226265   0.158210   0.279693  8.894953 0.081957 0.076653
NGC0362  5.489813 0.057612 0.059550 0.276276 0.002661 0.002947  3.562317 0.049237 0.046964 1.419176 0.117494 0.102674 1.388774 0.056003 0.059328 0.495380   0.007435   0.003374  0.000200 0.000075 0.000117 2.257004 0.128582 0.137812  0.671491 0.031145 0.031615  0.698848 0.031901 0.032579 3.118526 0.061913 0.060156  5.821755   1.131693   1.045651  8.734076 0.065031 0.064653
NGC1261  3.405017 0.151735 0.151514 0.183030 0.004706 0.003997  4.999137 0.079215 0.078354 0.932980 0.145040 0.622467 2.249810 0.131423 0.129263 0.485813   0.022513   0.010368  0.000006 0.000005 0.000017 4.235565 0.341388 0.373356  0.994115 0.107166 0.109089  1.379749 0.109025 0.132089 2.621488 0.134264 0.131470  3.103069   1.600516   1.281323 16.250926 0.154448 0.144976
NGC1851  5.855716 0.093494 0.135666 0.325006 0.003926 0.003790  3.712058 0.042686 0.045247 4.280181 1.304494 1.198542 1.817730 0.026997 0.023055 0.487147   0.020489   0.009467  0.000027 0.000014 0.000027 2.353355 0.151621 0.185952  0.560520 0.039579 0.036113  1.277398 0.054458 0.053622 2.849222 0.068559 0.076251  3.205887   0.755925   1.188468 12.183496 0.077368 0.085110
NGC2808  5.014896 0.043150 0.035410 0.941525 0.010643 0.009829  4.014776 0.025767 0.025307 1.289951 0.097050 0.090389 1.733120 0.036327 0.037846 0.494514   0.005245   0.003550  0.000023 0.000007 0.000012 2.622267 0.150223 0.180085  0.306813 0.029579 0.028548  1.463940 0.043194 0.044974 3.226820 0.052625 0.067714 12.595591   1.781103   1.670932 10.237520 0.057831 0.059870
NGC3201  4.775148 0.155138 0.185452 0.175648 0.005783 0.005812  9.596015 0.524969 0.556689 0.951225 0.048036 0.067556 1.666734 0.115538 0.112128 0.458792   0.027379   0.024980 19.382836 0.772001 0.447409 2.468992 0.217758 0.235304  0.948588 0.072392 0.066364  1.412121 0.131724 0.110513 2.149010 0.069780 0.077002  0.054816   0.036577   0.105598  4.635907 0.033440 0.035351
NGC5024  5.130495 0.280941 0.225832 0.532656 0.018925 0.017620 10.295889 0.180208 0.257510 5.858605 2.946706 2.653006 2.156140 0.282847 0.166470 0.326216   0.018883   0.040874  0.000929 0.000905 0.002630 2.770117 0.190235 0.247100  0.842157 0.087917 0.074535  1.633680 0.063859 0.072260 2.284314 0.105495 0.109441  0.671412   0.507009   1.411622 18.362536 0.160389 0.172037
NGC5139  0.834751 0.031489 0.300046 3.082415 0.013149 0.067747  9.418792 0.017289 0.111787 2.029153 0.119983 0.269043 2.599878 0.017506 0.006657 0.476025   0.010085   0.008049  0.000314 0.000059 0.000045 5.948993 0.075604 0.084493  0.879854 0.026498 0.013341  1.238841 0.026359 0.028285 2.283121 0.081443 0.025267 35.590741   9.321536   3.392364  5.299792 0.013017 0.027197
NGC5272  5.751699 0.062394 0.063935 0.496434 0.007021 0.007606  7.149476 0.084268 0.085696 5.928030 2.336893 2.498741 1.784300 0.037211 0.038674 0.303123   0.002281   0.004370  0.000008 0.000006 0.000029 2.219947 0.144004 0.155568  1.013230 0.032290 0.032846  1.312470 0.043295 0.044332 2.170020 0.055545 0.053688  1.211860   0.556236   0.646185 10.162382 0.057015 0.054736
